"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m2b",0,0,-93.3941746128924,0.298260897453829,0.0270348075175839,0.000459928157327901,186.788349225785,0.596521794907658
"m3b",-1.71432972112573,5.22653566846977,-95.1085043340181,5.21950645387984,3.76038546271586,0.80435765990392,190.217008668036,10.4390129077597
"m1b",-3.21497276635346,6.6321001197724,-96.6091473792459,6.62828042681835,2.57138355367119,0.579270113542794,193.218294758492,13.2565608536367
"m1a",-22.2685222345429,9.51537695924271,-115.662696847435,9.4662378981325,2.38860743572845,0.59336622114862,231.325393694871,18.932475796265
"m3a",-23.3784543144621,9.64409446898587,-116.772628927355,9.59334087613382,2.53924276035877,0.603165468216367,233.545257854709,19.1866817522676
"m2a",-72.439701892825,0.538814170971847,-165.833876505717,0.595893791547005,0.013662509195397,0.000223486835114977,331.667753011435,1.19178758309401
