"","characteristic","options","all tested n(%)","male n(%)","female n(%)","cluster n(%)","seropositive n(%)","seronegative n(%)","OR_univariate","OR_multivariate1"
"1","cat_sex","female","1232 (54%)",NA,"1232 (100%)","65 (47%)","143 (41%)","1089 (56%)",NA,NA
"2","cat_sex","male","1062 (46%)","1062 (100%)",NA,"72 (53%)","210 (59%)","852 (44%)","1.9 (1.5, 2.4)","1.4 (1, 2)"
"3","age_bin","(0,5]","93 (4%)","53 (5%)","40 (3%)","6 (4%)","4 (1%)","89 (5%)",NA,NA
"4","age_bin","(5,15]","436 (19%)","213 (20%)","223 (18%)","23 (17%)","9 (3%)","427 (22%)","0.5 (0.1, 1.5)","1.7 (0.3, 10.6)"
"5","age_bin","(15,40]","1029 (45%)","444 (42%)","585 (47%)","73 (53%)","97 (27%)","932 (48%)","2.4 (0.8, 6.7)","5.1 (0.7, 35.6)"
"6","age_bin","(40,100]","736 (32%)","352 (33%)","384 (31%)","35 (26%)","243 (69%)","493 (25%)","12.9 (4.5, 36.6)","20.8 (2.9, 147.9)"
"7","cat_activity_month_r1","homeworker","844 (37%)","78 (7%)","766 (62%)","47 (34%)","127 (36%)","717 (37%)",NA,NA
"8","cat_activity_month_r1","business/outside","502 (22%)","438 (41%)","64 (5%)","42 (31%)","138 (39%)","364 (19%)","2.2 (1.7, 3)","1.8 (1.2, 2.7)"
"9","cat_activity_month_r1","farmer","80 (3%)","79 (7%)","1 (0%)","6 (4%)","27 (8%)","53 (3%)","3.1 (1.8, 5.4)","1.7 (0.9, 3.3)"
"10","cat_activity_month_r1","student","666 (29%)","345 (32%)","321 (26%)","30 (22%)","20 (6%)","646 (33%)","0.2 (0.1, 0.3)","0.5 (0.3, 1)"
"11","cat_activity_month_r1","child","96 (4%)","51 (5%)","45 (4%)","4 (3%)","5 (1%)","91 (5%)","0.3 (0.1, 0.8)","2.6 (0.4, 15.8)"
"12","cat_activity_month_r1","none","71 (3%)","41 (4%)","30 (2%)","2 (1%)","23 (7%)","48 (2%)","3 (1.7, 5.4)","1.3 (0.7, 2.4)"
"13","cat_activity_month_r1","other","34 (1%)","29 (3%)","5 (0%)","6 (4%)","13 (4%)","21 (1%)","3.6 (1.7, 7.9)","3.3 (1.4, 7.8)"
"14","cat_activity_month_r1",NA,"1 (0%)","1 (0%)",NA,NA,NA,"1 (0%)",NA,NA
"15","last_left","> 1 year","2140 (93%)","982 (92%)","1158 (94%)","129 (94%)","322 (91%)","1818 (94%)",NA,NA
"16","last_left","1 month - 1 year","112 (5%)","59 (6%)","53 (4%)","5 (4%)","22 (6%)","90 (5%)","1.4 (0.8, 2.3)",NA
"17","last_left","1 week - 1 month","24 (1%)","10 (1%)","14 (1%)","3 (2%)","5 (1%)","19 (1%)","1.5 (0.5, 4.4)",NA
