"","r1","r3","both"
"visited_id",2337,2038,1993
"visited_hh",580,494,494
"sampled_id",2308,1986,1862
"sampled_hh",580,493,493
"results_id",2301,1986,1856
"results_hh",580,493,492
"clear_id",2294,1978,1846
"clear_hh",579,492,491
