age_class,N,pos,seropositive,ci_l,ci_u,age1,age2
"(0,2]",12,0,2.1433445854827824e-11,1.0150115562331456e-11,4.525983949492618e-11,0,2
"(2,4]",53,1,0.01886792485335008,0.0025080603562465903,0.12822408427071677,2.1,4
"(4,6]",50,2,0.040000000000000376,0.009612486585718958,0.1517328380350316,4.1,6
"(6,8]",69,3,0.04347826086956521,0.013734674028862545,0.12919636117224162,6.1,8
"(8,10]",76,1,0.0131578947368525,0.0017811258582540053,0.09060671492105339,8.1,10
"(10,12]",86,2,0.023255813971177264,0.003201509000042832,0.1500239962387671,10.1,12
"(12,14]",97,3,0.030927835051672223,0.010201110723315978,0.08994064943977871,12.1,14
"(14,16]",97,3,0.0309278350516718,0.009801807039200076,0.09329703051479207,14.1,16
"(16,18]",94,9,0.09574468085106366,0.05034598593950462,0.17455618554080926,16.1,18
"(18,20]",85,3,0.035294117647066935,0.011185170881345484,0.10580787513203777,18.1,20
"(20,22]",70,3,0.042857142857143066,0.013558051988144642,0.12730094997118824,20.1,22
"(22,24]",82,5,0.06097560976539547,0.02514593525089272,0.14049998030510674,22.1,24
"(24,26]",79,8,0.10126582397370501,0.05041053130700791,0.19299789425413733,24.1,26
"(26,28]",51,8,0.15686274523865468,0.07880463472867424,0.2880616459425182,26.1,28
"(28,30]",56,8,0.14285714285714926,0.0665644289809997,0.280331606079282,28.1,30
"(30,32]",69,10,0.14492753623188626,0.07833914251017916,0.25260350123295777,30.1,32
"(32,34]",66,6,0.09090909090909151,0.04103835813269763,0.1894133925690203,32.1,34
"(34,36]",71,12,0.16901408496569312,0.09834914823485527,0.27496859039238186,34.1,36
"(36,38]",47,10,0.2127659574469354,0.1186557246022379,0.3517299770114275,36.1,38
"(38,40]",67,13,0.19402985074628154,0.11422417885146169,0.3100750450586425,38.1,40
"(40,42]",64,21,0.32812500000006195,0.2243123648434762,0.451987142612178,40.1,42
"(42,44]",32,8,0.25000000000055644,0.12657101692792494,0.4339872860459751,42.1,44
"(44,46]",66,19,0.28787878787915533,0.18708561943906707,0.4152368473423913,44.1,46
"(46,48]",39,12,0.3076923076924868,0.1795516743557672,0.474404256459317,46.1,48
"(48,50]",51,11,0.21568627450996322,0.12472538033007659,0.34670714644453315,48.1,50
"(50,52]",47,20,0.42553191489361714,0.29280622163473546,0.5699346419018725,50.1,52
"(52,54]",23,12,0.5217391304343705,0.3145202685650925,0.7217368126232371,52.1,54
"(54,56]",54,14,0.2592592592598338,0.15803099579799082,0.39491647075756625,54.1,56
"(56,58]",24,13,0.5416666666289863,0.32655222840342113,0.7422945208708646,56.1,58
"(58,60]",41,11,0.2682926829273715,0.1523846096394076,0.42786068345927086,58.1,60
"(60,62]",35,13,0.3714285714285736,0.2248975217236358,0.5461592463075934,60.1,62
"(62,64]",19,4,0.21052631578957837,0.07553949542034843,0.46531654361884106,62.1,64
"(64,66]",37,11,0.2972972972975688,0.1693832818828121,0.4674465745549831,64.1,66
"(66,68]",5,2,0.4,0.050155632695399875,0.893807515495147,66.1,68
"(68,70]",15,4,0.26666666666721783,0.09410921843955855,0.5600243595439997,68.1,70
"(70,72]",16,8,0.5,0.25612352708618463,0.7438764729138153,70.1,72
"(72,74]",10,1,0.10000000152809004,0.010122257660255585,0.5469600848610479,72.1,74
"(74,76]",9,4,0.4444444447151566,0.14544660831609466,0.7899265636110411,74.1,76
"(76,106]",14,4,0.28571428571467555,0.09602261190861541,0.6010013575179185,76.1,106
